name,symbol,tier,watchlist,exchange,chart_usd,chart_btc,spot_usd,spot_btc,perps
DIA,DIAUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ADIAUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ADIABTC,https://www.binance.com/en/trade/DIA_USDT,https://www.binance.com/en/trade/DIA_BTC,
DOCK,DOCKUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ADOCKUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ADOCKBTC,https://www.binance.com/en/trade/DOCK_USDT,https://www.binance.com/en/trade/DOCK_BTC,
DODO,DODOUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ADODOUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ADODOBTC,https://www.binance.com/en/trade/DODO_USDT,https://www.binance.com/en/trade/DODO_BTC,
DOGE,DOGEUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ADOGEUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ADOGEBTC,https://www.binance.com/en/trade/DOGE_USDT,https://www.binance.com/en/trade/DOGE_BTC,https://www.binance.com/en/futures/DOGEUSDT
DOT,DOTUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ADOTUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ADOTBTC,https://www.binance.com/en/trade/DOT_USDT,https://www.binance.com/en/trade/DOT_BTC,https://www.binance.com/en/futures/DOTUSDT
DREP,DREPUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ADREPUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ADREPBTC,https://www.binance.com/en/trade/DREP_USDT,https://www.binance.com/en/trade/DREP_BTC,
DUSK,DUSKUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ADUSKUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ADUSKBTC,https://www.binance.com/en/trade/DUSK_USDT,https://www.binance.com/en/trade/DUSK_BTC,https://www.binance.com/en/futures/DUSKUSDT
DYDX,DYDXUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ADYDXUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ADYDXBTC,https://www.binance.com/en/trade/DYDX_USDT,https://www.binance.com/en/trade/DYDX_BTC,https://www.binance.com/en/futures/DYDXUSDT
EDU,EDUUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AEDUUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3AEDUBTC,https://www.binance.com/en/trade/EDU_USDT,https://www.binance.com/en/trade/EDU_BTC,https://www.binance.com/en/futures/EDUUSDT
EGLD,EGLDUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AEGLDUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3AEGLDBTC,https://www.binance.com/en/trade/EGLD_USDT,https://www.binance.com/en/trade/EGLD_BTC,https://www.binance.com/en/futures/EGLDUSDT
ELF,ELFUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AELFUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3AELFBTC,https://www.binance.com/en/trade/ELF_USDT,https://www.binance.com/en/trade/ELF_BTC,
ENJ,ENJUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AENJUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3AENJBTC,https://www.binance.com/en/trade/ENJ_USDT,https://www.binance.com/en/trade/ENJ_BTC,https://www.binance.com/en/futures/ENJUSDT
ENS,ENSUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AENSUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3AENSBTC,https://www.binance.com/en/trade/ENS_USDT,https://www.binance.com/en/trade/ENS_BTC,https://www.binance.com/en/futures/ENSUSDT
EOS,EOSUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AEOSUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3AEOSBTC,https://www.binance.com/en/trade/EOS_USDT,https://www.binance.com/en/trade/EOS_BTC,https://www.binance.com/en/futures/EOSUSDT
EPX,EPXUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AEPXUSDT,,https://www.binance.com/en/trade/EPX_USDT,,
ERN,ERNUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AERNUSDT,,https://www.binance.com/en/trade/ERN_USDT,,
